#Exported for mctoolsr																								
#ASV_ID	Blank25	Blank29	CRCcr0	CRCcr0b	CRCcr0c	GGc0	GGc0b	GGc0c	GGm0	GGm0b	GGm0c	GGm3	GGm3b	GGm3c	MMg0	MMg0b	MMg0c	NRt0-diluted	NRt0	NRt0b-diluted	NRt0b	NRt0c-diluted	NRt0c	taxonomy
ASV_1	0	0	12626	9932	10667	0	0	0	0	0	0	0	0	0	3	4	16	57	0	15	0	116	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Tychonema_CCAP_1459-11B;ASV_1
ASV_17	0	0	0	0	0	783	608	716	1882	1790	1295	1753	1385	1516	1456	702	581	423	0	333	102	550	135	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_17
ASV_39	0	0	0	0	0	996	940	846	617	571	426	1236	1070	1119	566	298	256	264	0	174	0	223	85	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_39
ASV_31	0	0	0	0	0	893	669	515	386	269	266	305	202	195	0	0	0	1525	22	1023	250	1238	491	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_31
ASV_67	0	0	0	0	0	0	0	0	716	807	595	1757	1398	1518	0	0	0	0	0	0	0	0	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_67
ASV_15	0	0	3770	1261	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;NA;NA;ASV_15
ASV_79	0	0	0	0	0	685	642	563	319	286	265	1081	853	859	0	0	0	184	0	132	24	179	66	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_79
ASV_102	0	0	0	0	0	0	0	0	837	862	634	555	389	568	581	270	265	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_102
ASV_36	0	0	3092	694	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Scytonema_UTEX_2349;ASV_36
ASV_127	0	0	0	0	0	664	575	518	110	124	104	93	67	76	383	226	212	403	0	265	36	299	13	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_127
ASV_133	0	0	0	0	0	0	0	0	69	53	51	1484	1114	1254	0	0	0	0	0	0	0	0	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_133
ASV_2	0	0	1135	1328	1192	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	14	154	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_2
ASV_147	0	0	0	0	0	143	117	126	403	317	283	475	438	501	268	136	152	115	0	82	28	120	35	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_147
ASV_154	0	0	0	0	0	198	240	257	567	585	395	511	370	431	0	0	30	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_154
ASV_159	0	0	0	0	0	322	278	325	164	324	152	649	450	559	89	74	38	43	0	0	0	52	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_159
ASV_168	0	0	0	0	0	10	9	18	0	0	0	1382	849	1082	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_168
ASV_169	0	0	0	0	0	49	68	54	135	277	83	44	27	57	161	124	103	563	0	539	89	743	231	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_169
