CH Vial Labes,Vial_label,Sample_name,estimated d2H [permil] sample (undiluted),estimated F2H [ppm] sample (undiluted),Amount of sample (µL),Standard used for dilution...7,Estimated d2H Standard,estimate F2H [ppm] dilutant,Amount of Standard (mL),estimated F2H [ppm] sample (diluted),estimated d2H [permil] sample (diluted),Ampule of X. Feng's standard used,Empty tube (g),...15,Tube + sample (g),Tube + sample + std (g),Actual amount of standard (g),Actual amount of sample (g),Notes,Sample ID,Analysis Number,RunDate,dD_SMOW,d 2H/1H Standard Deviation,Comment_SA,Comment,Standard used for dilution...28,dD of std,mass fraction sample,mass fraction standard,dD_SMOW_corr,F_label_ppm,inc_time_d,soil
CU-01,c0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.261400000000002,35.438000000000002,35.656799999999997,235.8,203.31980000000001,0.21879999999999455,NA,WL-CU-01,56565,2021-11-19T00:00:00Z,-30.037271914209676,0.104,NA,NA,MQ H2O Standard,-59.585999999999999,1.0749803722733405E-3,0.99892501962772662,27428.104796903983,4408.5623602536125,0,Conifer
CU-02,c0F0y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.172699999999999,35.052900000000001,35.261299999999999,219.3,186.9189,0.20839999999999748,NA,WL-CU-02,56566,2021-11-19T00:00:00Z,-27.491737064855034,0.144,NA,NA,MQ H2O Standard,-59.585999999999999,1.1136803662533338E-3,0.99888631963374663,28758.613465181501,4613.942451378342,0,Conifer
CU-03,c0F0z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.171799999999998,35.226599999999998,35.4377,232,199.6171,0.21110000000000184,NA,WL-CU-03,56567,2021-11-19T00:00:00Z,-30.961222638819272,0.08,NA,NA,MQ H2O Standard,-59.585999999999999,1.0564074540029978E-3,0.99894359254599696,27036.755712389597,4348.136768297307,0,Conifer
CU-04,c0F3x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.146500000000003,34.932899999999997,35.134999999999998,243.7,211.35139999999998,0.2021000000000015,NA,WL-CU-04,56568,2021-11-20T00:00:00Z,-33.124147321485765,0.042,NA,NA,MQ H2O Standard,-59.585999999999999,9.5531390404791938E-4,0.99904468609595209,27640.055517189601,4441.285190230146,3,Conifer
CU-05,c0F3y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.091500000000003,35.2423,35.451300000000003,252.8,220.4995,0.20900000000000318,NA,WL-CU-05,56569,2021-11-20T00:00:00Z,-33.339784054944545,0.258,NA,NA,MQ H2O Standard,-59.585999999999999,9.4695038931442684E-4,0.99905304961068553,27656.983147890827,4443.898535070444,3,Conifer
CU-06,c0F3z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.309399999999997,35.438299999999998,35.644300000000001,246.7,214.1846,0.20600000000000307,NA,WL-CU-06,56570,2021-11-20T00:00:00Z,-32.72450480652418,0.221,NA,NA,MQ H2O Standard,-59.585999999999999,9.6086302291239947E-4,0.99903913697708757,27896.006579739373,4480.798315751409,3,Conifer
CU-07,c0F7x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.312199999999997,35.231299999999997,35.439799999999998,257.7,225.1793,0.2085000000000008,NA,WL-CU-07,56571,2021-11-20T00:00:00Z,-34.021855210234975,0.091,NA,NA,MQ H2O Standard,-59.585999999999999,9.2507225324529885E-4,0.99907492774675466,27575.168690870883,4431.267615581762,7,Conifer
CU-08,c0F7y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.306600000000003,35.765099999999997,35.973700000000001,236.1,203.58479999999997,0.20860000000000412,NA,WL-CU-08,56572,2021-11-20T00:00:00Z,-35.983275888525895,0.193,NA,NA,MQ H2O Standard,-59.585999999999999,1.0235856509582949E-3,0.99897641434904172,22999.279752345115,3724.308684907275,7,Conifer
CU-09,c0F7z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.294899999999998,36.037300000000002,36.247,236.1,203.5954,0.209699999999998,NA,WL-CU-09,56573,2021-11-20T00:00:00Z,-31.505467015430835,0.212,NA,NA,MQ H2O Standard,-59.585999999999999,1.0289242025837331E-3,0.99897107579741629,27231.572001780984,4378.2179640063905,7,Conifer
CU-10,t0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.108400000000003,34.940800000000003,35.146000000000001,233,200.6864,0.20519999999999783,NA,WL-CU-10,56574,2021-11-20T00:00:00Z,-37.74218286687398,0.09,NA,NA,MQ H2O Standard,-59.585999999999999,1.0214463919845222E-3,0.99897855360801546,21325.596134411036,3465.47954192842,0,Tundra
