id1,control,inc_time,with_glu,compound,d2H,rel_amount,d2H_normal,f0,fl,a
MBX_FAMES,FALSE,1,FALSE,i-15:0,147.1798246,0.015284658,0,147.1798246,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,a-15:0,49.29897048,0.017561656,0,49.29897048,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,i-16:0,165.011229,0.011599186,0,165.011229,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:1 trans,-75.31654252,0.020607317,0,-75.31654252,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:1 cis,-157.3025122,0.063268375,0,-157.3025122,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:0,-35.64189138,0.093400248,0,-35.64189138,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C17:0 -me,-113.8562413,0.01538181,0,-113.8562413,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,cyc-17,-50.57362422,0.008664419,0,-50.57362422,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:2,-82.54430803,0.01054292,0,-82.54430803,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:1 cis,-70.27820721,0.045726615,0,-70.27820721,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:1 trans,-24.15439738,0.034336216,0,-24.15439738,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:0,165.450179,0.021195923,0,165.450179,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:0 -me,-50.59738062,0.019684266,0,-50.59738062,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,cyc-19,-94.28015484,0.030427606,0,-94.28015484,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C20:0,-106.5243655,0.01487752,0,-106.5243655,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C22:0,-126.5684348,0.026251428,0,-126.5684348,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C23:0 (IS),-90.39719913,0.006152687,0,-90.39719913,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,alkane,-149.3821345,0.016072837,0,-149.3821345,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C24:0,-154.0058184,0.025278295,0,-154.0058184,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,i-15:0,242.815805,0.012191474,95.63598035,147.1798246,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,a-15:0,129.2599663,0.013699919,79.96099583,49.29897048,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,i-16:0,285.4342899,0.009792188,120.4230609,165.011229,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:1 trans,-31.56187516,0.018161063,43.75466736,-75.31654252,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:1 cis,-141.2121588,0.055609352,16.09035332,-157.3025122,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:0,41.94207306,0.081597965,77.58396444,-35.64189138,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C17:0 -me,-67.01502955,0.011511303,46.84121173,-113.8562413,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,cyc-17,20.52683717,0.013389923,71.10046138,-50.57362422,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:2,-67.81622865,0.014293624,14.72807939,-82.54430803,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:1 cis,-35.3434562,0.044460342,34.934751,-70.27820721,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:1 trans,38.00727991,0.030254771,62.16167728,-24.15439738,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:0,240.8946242,0.020042695,75.4444452,165.450179,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:0 -me,-42.64966149,0.013097258,7.947719127,-50.59738062,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,cyc-19,-86.40604652,0.024724603,7.874108319,-94.28015484,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C20:0,-79.42757001,0.013541799,27.09679553,-106.5243655,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C22:0,-116.1657987,0.020121206,10.40263608,-126.5684348,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C23:0 (IS),-80.86228621,0.006802325,9.534912918,-90.39719913,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,alkane,-140.1483794,0.01545069,9.23375506,-149.3821345,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C24:0,-148.5625326,0.021896329,5.443285876,-154.0058184,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,i-15:0,396.7745075,0.018355635,249.5946829,147.1798246,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,a-15:0,227.9972559,0.020438958,178.6982854,49.29897048,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,i-16:0,273.4401511,0.012204876,108.4289221,165.011229,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:1 trans,258.5568954,0.025904514,333.8734379,-75.31654252,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:1 cis,-105.7949174,0.075008609,51.50759474,-157.3025122,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:0,211.9836672,0.093252627,247.6255586,-35.64189138,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C17:0 -me,-6.477385182,0.012954695,107.3788561,-113.8562413,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,cyc-17,147.6284627,0.01309359,198.202087,-50.57362422,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:2,-12.49861313,0.014770266,70.0456949,-82.54430803,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:1 cis,-12.00952858,0.043567325,58.26867862,-70.27820721,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:1 trans,130.2047423,0.035560986,154.3591397,-24.15439738,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:0,332.5283811,0.019321167,167.0782021,165.450179,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:0 -me,6.511014881,0.012134847,57.1083955,-50.59738062,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,cyc-19,-54.33273146,0.024302902,39.94742337,-94.28015484,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C20:0,-45.69809807,0.012103541,60.82626747,-106.5243655,0.005,0.5
