id1,terrain,depth_cm,is_amended,inc_time_d,num_replicates,inc_batch
m0F0x,meadow,0,FALSE,0,3,NA
m0F0y,meadow,0,FALSE,0,3,NA
m0F0z,meadow,0,FALSE,0,3,NA
m0F3x,meadow,0,FALSE,3,3,1
m0F3y,meadow,0,FALSE,3,3,1
m0F3z,meadow,0,FALSE,3,3,1
m0F7x,meadow,0,FALSE,7,3,1
m0F7y,meadow,0,FALSE,7,3,1
m0F7z,meadow,0,FALSE,7,3,1
m3F0x,meadow,30,FALSE,0,3,NA
m3F0y,meadow,30,FALSE,0,3,NA
m3F0z,meadow,30,FALSE,0,3,NA
m3F3x,meadow,30,FALSE,3,3,1
m3F3y,meadow,30,FALSE,3,3,1
m3F3z,meadow,30,FALSE,3,3,1
m3F7x,meadow,30,FALSE,7,3,1
m3F7y,meadow,30,FALSE,7,3,1
m3F7z,meadow,30,FALSE,7,3,1
m0T0x,meadow,0,TRUE,0,3,NA
m0T0y,meadow,0,TRUE,0,3,NA
m0T0z,meadow,0,TRUE,0,3,NA
m0T3x,meadow,0,TRUE,3,3,1
m0T3y,meadow,0,TRUE,3,3,1
m0T3z,meadow,0,TRUE,3,3,1
m0T7x,meadow,0,TRUE,7,3,1
m0T7y,meadow,0,TRUE,7,3,1
m0T7z,meadow,0,TRUE,7,3,1
c0F0x,conifer,0,FALSE,0,3,NA
c0F0y,conifer,0,FALSE,0,3,NA
c0F0z,conifer,0,FALSE,0,3,NA
c0F3x,conifer,0,FALSE,3,3,1
c0F3y,conifer,0,FALSE,3,3,1
c0F3z,conifer,0,FALSE,3,3,1
c0F7x,conifer,0,FALSE,7,3,1
c0F7y,conifer,0,FALSE,7,3,1
c0F7z,conifer,0,FALSE,7,3,1
t0F0x,tundra,0,FALSE,0,3,NA
t0F0y,tundra,0,FALSE,0,3,NA
t0F0z,tundra,0,FALSE,0,3,NA
t0F3x,tundra,0,FALSE,3,3,2
t0F3y,tundra,0,FALSE,3,3,2
t0F3z,tundra,0,FALSE,3,3,2
t0F7x,tundra,0,FALSE,7,3,2
t0F7y,tundra,0,FALSE,7,3,2
t0F7z,tundra,0,FALSE,7,3,2
t0T0x,tundra,0,TRUE,0,3,NA
t0T0y,tundra,0,TRUE,0,3,NA
t0T0z,tundra,0,TRUE,0,3,NA
t0T3x,tundra,0,TRUE,3,3,2
t0T3y,tundra,0,TRUE,3,3,2
t0T3z,tundra,0,TRUE,3,3,2
t0T7x,tundra,0,TRUE,7,3,2
t0T7y,tundra,0,TRUE,7,3,2
t0T7z,tundra,0,TRUE,7,3,2
g0F0x,grassland,0,FALSE,0,3,NA
g0F0y,grassland,0,FALSE,0,3,NA
g0F0z,grassland,0,FALSE,0,3,NA
g0F3x,grassland,0,FALSE,3,3,2
g0F3y,grassland,0,FALSE,3,3,2
g0F3z,grassland,0,FALSE,3,3,2
g0F7x,grassland,0,FALSE,7,3,2
g0F7y,grassland,0,FALSE,7,3,2
g0F7z,grassland,0,FALSE,7,3,2
cr0F0x,crust,0,FALSE,0,3,NA
cr0F0y,crust,0,FALSE,0,3,NA
cr0F0z,crust,0,FALSE,0,3,NA
cr0F3x,crust,0,FALSE,3,3,3
cr0F3y,crust,0,FALSE,3,3,3
cr0F3z,crust,0,FALSE,3,3,3
cr0F7x,crust,0,FALSE,7,3,3
cr0F7y,crust,0,FALSE,7,3,3
cr0F7z,crust,0,FALSE,7,3,3
cri0,intact biocrust,0,FALSE,0,1,NA
cri3,intact biocrust,0,FALSE,3,1,NA
cri5,intact biocrust,0,FALSE,5,1,NA
cri7,intact biocrust,0,FALSE,7,1,NA
