file_id,Analysis,compound,peak_info,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,sample_id,n_overlapping,n_matches,is_identified,is_missing,is_ambiguous,inc_time_d,inc_time_d_str,f_label,t_series_id,soil_id,replicate_id,terrain,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,file,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,chain,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,i-15:0,i-15:0 (1699),17,0,1687.466,1698.961,1705.649,506.818209418879,139.849183272212,220.694612331123,82.3107156608226,220.694612331123,82.3107156608226,3431.41075640883,1110.05582982985,0.32349838262778696,208.766275476382,-69.2499678831857,-69.2499678831857,0.0144943305894778,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0146749677396367,-57.6486668793579,5235.65050049662,FID0165_t0f0x_100ul-nhex.xls,2,12.278333333333334,7.85430479249998,201.8187561969697,4.790598101524003,6.203297675129822,NA,C15,0.5,0,0.0146749677396367,0,0.0144943305894778,NA,NA,C15,15
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,a-15:0,a-15:0 (1719),18,0,1706.485,1718.816,1725.922,390.46733745907,106.82918975158,250.823760926273,88.5548714233974,250.823760926273,88.5548714233974,2386.59954810912,749.591242192249,0.3140833755650972,173.588673271437,-96.336721580993,-96.336721580993,0.0140725749090016,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0141879614694216,-88.9260831848606,4073.44261012497,FID0165_t0f0x_100ul-nhex.xls,3,12.406666666666666,5.6231394983333125,165.71796079310346,3.429737209974751,5.093668498837716,NA,C15,0.5,0,0.0141879614694216,0,0.0140725749090016,NA,NA,C15,15
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,i-16:0,i-16:0 (1959),20,0,1950.179,1959.166,1966.69,241.932016074712,73.4461150228937,233.424324334628,85.7289919170352,233.424324334628,85.7289919170352,1563.41752010252,505.350706567921,0.3232346446615121,207.807723330176,-69.9880530357642,-69.9880530357642,0.0144828382441066,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0144299200803822,-73.3866285742175,2945.06646808428,FID0165_t0f0x_100ul-nhex.xls,6,13.94,3.206345375000004,80.77763261290323,1.9556552071894053,2.482859918634447,NA,C16,0.5,0,0.0144299200803822,0,0.0144828382441066,NA,NA,C16,16
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,16:1 cis,16:1 cis (2002),21,0,1987.59,2001.8020000000001,2014.133,642.434988683603,167.946803339345,247.923546864155,90.5309154134765,247.923546864155,90.5309154134765,5889.0576439611,1773.20639182044,0.30110189083286765,125.109957392375,-133.665332807871,-133.665332807871,0.0134913420328214,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0135800168738151,-127.970353710304,8893.48285353113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0135800168738151,0,0.0134913420328214,NA,NA,C16,16
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,16:1 trans,16:1 trans (2024),22,0,2014.76,2024.165,2033.779,331.551316177687,92.3284355963502,247.244535774332,88.6581073712388,247.244535774332,88.6581073712388,2310.32898642999,698.969094419983,0.30254093617206274,130.489319864812,-129.523223704095,-129.523223704095,0.0135558379342509,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0136578852745407,-122.969378748837,3327.5005761333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0136578852745407,0,0.0135558379342509,NA,NA,C16,16
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,16:0,16:0 (2067),23,0,2047.364,2066.801,2077.042,985.616349408677,256.466460501981,233.93166238381,85.509125932142,233.93166238381,85.509125932142,10425.8513440888,3218.93156940334,0.30874520105529685,153.67669360844,-111.668945921501,-111.668945921501,0.0138338421506041,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0138716862868682,-109.238464567178,17645.9486401328,FID0165_t0f0x_100ul-nhex.xls,9,14.636666666666667,20.940887932500026,349.16072875,12.772534377511782,10.732143918217403,NA,C16,0.5,0,0.0138716862868682,0,0.0138338421506041,NA,NA,C16,16
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,i-17:0,i-17:0 (2221),26,0,2212.683,2220.834,2227.313,154.512214366532,48.8269319863127,243.758152733597,87.805678021693,243.758152733597,87.805678021693,846.622112384653,286.713584984851,0.3386559136487399,265.459634211658,-25.5960816570231,-25.5960816570231,0.0151740381644123,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0156075566955635,2.24678918506598,1573.36271751772,FID0165_t0f0x_100ul-nhex.xls,12,15.645,1.9622447116666668,53.2510409661017,1.1968374081194497,1.6367758123574319,NA,C17,0.5,0,0.0156075566955635,0,0.0151740381644123,NA,NA,C17,17
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,17:0 cyclo,17:0 cyclo (2275),28,0,2265.978,2275.3830000000003,2285.415,316.242024932135,83.8043427519641,258.39043903704,93.9714283535074,258.39043903704,93.9714283535074,2005.22091042501,592.514822045262,0.2954860579025562,104.151472660508,-149.803366051409,-149.803366051409,0.0132400593499055,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.013453138602769,-136.118852869519,3637.97536235237,FID0165_t0f0x_100ul-nhex.xls,15,16.023333333333333,4.728516080000025,116.57435336065575,2.884077044922483,3.583142760408986,NA,C17,0.5,0,0.013453138602769,0,0.0132400593499055,NA,NA,C17,17
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,18:2,18:2 (2481),29,0,2471.216,2480.621,2488.145,199.120131016781,57.725025586902,247.318613190174,89.6271382921119,247.318613190174,89.6271382921119,1443.3425535992,428.995086986095,0.29722333476299756,110.662730376303,-144.789697610247,-144.789697610247,0.0133181264985277,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0137760154892704,-115.382703377304,3051.03439419107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0137760154892704,0,0.0133181264985277,NA,NA,C18,18
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,18:1 cis,18:1 cis (2505),30,0,2489.399,2505.283,2511.344,498.102841019735,143.515206459458,265.438406515473,94.2101912527685,265.438406515473,94.2101912527685,4724.82417173669,1528.23378162676,0.32344775722416685,208.660579433924,-69.3313538358781,-69.3313538358781,0.0144930633706782,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0145100263461861,-68.2418889616965,8435.36683245754,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0145100263461861,0,0.0144930633706782,NA,NA,C18,18
